name,label
CHI NH?NH C?NG TY TNHH T?P ÅòO?N Åò?U T? HOA SEN T?I S?N Åò?NG,0
Chi Nh?nh C?ng Ty C? Ph?n Th??ng M?i D?ch V? K?t N?i Vi?t,0
C?ng ty C? ph?n C?ng ngh? Y Sinh h?c v? Th?c ph?m Dinh d??ng Vi?t Nam,0
H?p t?c x? c? kh? Ph??ng Nam,0
HTX khai th?c c? bi?n b?c hÅ˜i,0
Doanh nghi?p t? nh?n V?n Ph??c Th?nh,0
C?ng ty TNHH V?n An,0
DNTN Bao BÅ~ Ho?ng L?c,0
DNTN SX TM Åò?ng Th?p,0
DNTN Long Nguy?n,0
DNTN Nh? H?ng Hoa Vi?n C?y S?,0
DNTN Hi?p L?i,0
DNTN Quang T?o,0
DNTN T?i Ho?n,0
Doanh Nghi?p t? nh?n H?ng Ph?t,0
C?ng ty v?t li?u x?y d?ng Ph? Y?n,0
Kim Han Pte,0
Chi Nh?nh Cty Åò?u T? V? Th??ng M?i V?n Xu?n,0
DNTN L?m Kim T?i,0
DNTN  Long ??t,0
Cty TNHH Th??ng M?i V? L?m,0
DNTN T?n HÅ˜i Thi?n,0
H?p t?c x? m? ngh? Vi?t Ph??ng,0
C?ng ty c? ph?n x?y l?p v? khai th?c S?n H?,0
Doanh Nghi?p T? Nh?n H?ng V??ng,0
Cty TNHH SÅ˜n Xu?t Th??ng M?i Tr?n Ki?n,0
C?a h?ng s? 2 ( Cty Tr?ng Huy),0
DNTN H? Ch??ng,0
C?ng ty tr?ch nhi?m hÅÄu h?n th??ng m?i C?n Ch?u,0
CTy TNHH Tin H?c-Vi?n Th?ng V?nh Quang,0
DNTN TM DV Åò?c HÅ˜o,0
CTy TNHH Th?i Trang ?n T??ng,0
DNTN Kim Anh,0
Chi nh?nh C?ng Ty CP Nh?a C?n Th?,0
CN C?ng ty TNHH Phan t?i Th?i BÅ~nh,0
DNTN T? T?i,0
C?ng ty TNHH X?y d?ng QuÅ˜ng Ng?i,0
DNTN Thanh L?,0
Chi nh?nh DNTN Nh? Ngh?  S? 10,0
Cty TNHH Åò? Hu?nh,0
HTX Th?y sÅ˜n T?n M?,0
Doanh nghi?p t? nh?n Linh Ho?ng,0
Cty TNHH M?t Th?nh Vi?n Th??ng M?i T?n H?ng Ph?ng,0
C?ng Ty TNHH Th??ng M?i-Xu?t Kh?u BÅ˜o Gia Trang,0
Nguy?n VÅNn Ho?ng,0
DNTN x? nghi?p x?y d?ng s? 9,0
C?ng Ty TNHH Ho?n Ch??ng,0
DNTN Thi?n Ng?n,0
Phan VÅNn Thi?n 72M 4510,0
DNTN Anh Em,0
Doanh nghi?p TN Ng?c Vinh,0
