,Unnamed: 0,name,Prediction result,pro non_persion
0,0,mai duc chien mai khac chien,0,0.5009748935699463
1,1,cao thi hien,1,0.0026333928108215
2,2,nguyen phuong nam,1,0.0008602142333984
3,3,nguyen thi my loc,1,0.0057616233825683
4,4,nguyen hoai phong,1,0.0017457604408264
5,5,nguyen huu vinh,1,0.0004563927650451
6,6,dong thi nhung,1,0.0029714703559875
7,7,nguyen van nghi,1,0.0037018656730651
8,8,nguyen duc cong,1,0.0036121606826782
9,9,sung a lung,1,0.1604329347610473
10,10,vo duy hung,1,0.0052189230918884
11,11,nguyen van toi,1,0.0027163028717041
12,12,nguyen van oanh,1,0.0249199271202087
13,13,dinh duc dung,1,0.0836814045906066
14,14,tran van dung,1,0.0038910508155822
15,15,pham thanh luan,1,0.0078811645507812
16,16,nguyen hoang an,1,0.001328706741333
17,17,pham van toan,1,0.0028666257858276
18,18,tran quang manh,1,0.0006237626075744
19,19,nguyen duy hung,1,0.0012437105178833
20,20,dinh sy hung,1,0.0128993988037109
21,21,luong thuy quynh,1,0.0004605054855346
22,22,do minh hoan,1,0.0120936632156372
23,23,phan thi lan anh,1,0.003849983215332
24,24,nguyen van truong,1,0.0015279650688171
25,25,phan thanh tu,1,0.009466528892517
26,26,nguyen thanh tu,1,0.0009013414382934
27,27,ha van thom,1,0.1235479116439819
28,28,nguyen van huy,1,0.0014249086380004
29,29,nguyen duc tuan,1,0.001770794391632
30,30,le thi mai huong,1,0.0010807514190673
31,31,nguyen trong phuc,1,0.0010620951652526
32,32,tran thi thao,1,0.0015500783920288
33,33,nguyen duy khanh,1,0.0024384260177612
34,34,nguyen thi minh chau,1,0.0038821697235107
35,35,luc thi trang,1,0.0042922496795654
36,36,nguyen duy,1,0.0020445585250854
37,37,ton luong kien,1,0.0882973670959472
38,38,nguyen kim dien,1,0.0057626962661743
39,39,ngo van ket,1,0.1226376295089721
40,40,nguyen minh kien,1,0.00050950050354
41,41,vuong tran nhat thanh,1,0.1017411947250366
42,42,dong trinh trung,1,0.0580979585647583
43,43,vu thuy quynh,1,0.0006592869758605
44,44,vu thi tuyet,1,0.0005210041999816
45,45,nguyen hoang,1,0.0015960335731506
46,46,dinh van phuc,1,0.0032153129577636
47,47,tran dinh khai,1,0.0053670406341552
48,48,vu duc nhan,1,0.0674313306808471
49,49,nguyen van giap,1,0.0685523748397827
50,50,ha manh linh,1,0.0352312922477722
51,51,dao huu hau,1,0.041132628917694
52,52,huynh thi tuong an,1,0.0030325055122375
53,53,bui duc nhan,1,0.1321714520454406
54,54,nguyen ngoc trung,1,0.0020364522933959
55,55,phung van tien,1,0.0058143734931945
56,56,nguyen ba hau,1,0.0020445585250854
57,57,duong thi y,1,0.003418743610382
58,58,do thi yen,1,0.0009343028068542
59,59,luong quoc khanh,1,0.0022202134132385
60,60,dang duc anh,1,0.0563932061195373
61,61,diep minh thuc,1,0.1472473740577697
62,62,nguyen trong phat,1,0.0014296770095825
63,63,trinh hoai ly,1,0.0450173020362854
64,64,dam quang van,1,0.0009602904319763
65,65,nguyen tien phu,1,0.0013295412063598
66,66,vu minh phuc,1,0.0018747448921203
67,67,hoang van thuc,1,0.0095593929290771
68,68,pham thi tuyen,1,0.0008797049522399
69,69,ngo thi hang,1,0.0012299418449401
70,70,nguyen duc truong giang,1,0.1867018342018127
71,71,nguyen van hai,1,0.0014249086380004
72,72,dang chi cong,1,0.0571931600570678
73,73,hoang an luong,1,0.0056112408638
74,74,nguyen thi le thuy,1,0.0007935166358947
75,75,nguyen do nhat thang,1,0.041122555732727
76,76,vu do hoan,1,0.0223916172981262
77,77,le duc loc,1,0.0263754725456237
78,78,dang quy quynh,1,0.0006294846534729
79,79,hoang thi thuy,1,0.0009474158287048
80,80,tong nguyen gia hung,1,0.2282703518867492
81,81,nguyen thi minh thu,1,0.0006480813026428
82,82,nguyen anh thu,1,0.0010408163070678
83,83,le xuan tiem,1,0.012693166732788
84,84,cao thi thanh,1,0.0025940537452697
85,85,cao van nghi,1,0.0082338452339172
86,86,nguyen thi nga,1,0.0013218522071838
87,87,le quang minh,1,0.0005591511726379
88,88,hoang van duong,1,0.0049365162849426
89,89,tran cong thao,1,0.0135233402252197
90,90,le thi ha giang,1,0.0027174949645996
91,91,le thi truc,1,0.0008696913719177
92,92,pham van tien,1,0.002334713935852
93,93,nguyen dinh hoai,1,0.0016297698020935
94,94,tran ngoc lam,1,0.0019704699516296
95,95,le thi nhu,1,0.0008981227874755
