,name,label,predict,prob
0,dang nhu quynh,1,1,0.004540920257568359
1,tang ba thanh,1,1,0.04971796274185181
2,nguyen thoai ai tram,1,1,0.8449071049690247
3,tran thi thu hien,1,1,0.0012458562850952148
4,nguyen dinh giang,1,1,0.01182645559310913
5,lo van xuoi,1,1,0.22934043407440186
6,pham thi minh thu,1,1,0.0001322031021118164
7,mb pgd tran phu,0,0,0.997774064540863
8,nguyen the hung,1,1,0.0012311339378356934
9,head office,0,0,0.9712400436401367
10,mb pgd thuy nguyen,0,0,0.9915330410003662
11,bui dinh anh,1,1,0.007071435451507568
12,luong thi lan phuong,1,1,0.014382660388946533
13,nguyen thanh thanh,1,1,0.0021321773529052734
14,tran minh hieu,1,1,0.0006808042526245117
15,nguyen kim dien,1,1,0.0017080903053283691
16,nong hoai nam,1,1,0.0584682822227478
17,nguyen huynh long,1,1,0.006815016269683838
18,le van vu,1,1,0.0011470317840576172
19,pgd kim lien,0,0,0.9661654233932495
20,hoang le trinh,1,1,0.003367602825164795
21,cnbinhchanh,0,0,0.9989961385726929
22,chu van vinh,1,1,0.019353032112121582
23,dinh thi minh nguyet,1,1,0.009778738021850586
24,tran thanh tam,1,1,0.005686044692993164
25,tran huu chung,1,1,0.006249487400054932
26,ha thi yen,1,1,0.0030104517936706543
27,trinh thi xinh,1,1,0.059635162353515625
28,nguyen minh hiep,1,1,0.0013822317123413086
29,ngan hang tmcp quan doi cn sai gon,0,0,0.9998395442962646
30,tran xuan bach,1,1,0.03615790605545044
31,tran quang vinh,1,1,0.001693129539489746
32,pham duy quang,1,1,0.0002905726432800293
33,nguyen thi thu ha,1,1,0.0013113617897033691
34,pham van ngoc,1,1,0.0010549426078796387
35,doan ngoc hieu,1,1,0.0013074278831481934
36,pgd le trong tan,0,0,0.9964418411254883
37,nguyen quoc tri,1,1,0.0006884336471557617
38,tran quoc thinh,1,1,0.0036139488220214844
39,nguyen thi thuy,1,1,0.0022681355476379395
40,trieu chieu choi,1,1,0.21962213516235352
41,nguyen minh giang,1,1,0.005591452121734619
42,nguyen thi kim oanh,1,1,0.00332486629486084
43,nguyen huu dung,1,1,0.0005891323089599609
44,ly thi khanh hoan,1,1,0.0011196732521057129
45,nguyen thi thu,1,1,0.0025343894958496094
46,phan minh thuan,1,1,0.0008584260940551758
47,tran anh tung,1,1,0.0023893117904663086
48,dang van minh,1,1,0.0013056397438049316
49,trinh huyen trang,1,1,0.0018170475959777832
