id,name,ket qua du doan,kha nang non_person
0,hkd nguyen van toan,0,0.7033206
1,hkd le van loc,0,0.7506304
2,malaysia exported labors,0,0.7833134
3,hkd nguyen thi hien,0,0.76266706
4,trung tam dich vu dau gia tai san,0,0.88143396
5,hkd le trong thiet,0,0.8387429
6,hkd ca men,0,0.8064643
7,cong doan huynh,1,0.028603077
8,quy chi doan dong nai,1,0.9577884
9,trung tam thiet bi pccc ba dinh,0,0.82882166
10,hkd do thi xuan,0,0.9131564
11,hkd nguyen thi nhu quynh,0,0.8352109
12,dich vu thuong mai minh phat,0,0.948701
13,trung tam dau tu tai chinh vie,0,0.8640221
14,pham mai thanh binh hkd,0,0.43438625
15,hkd tuyet,0,0.7506304
16,db dai ly nu hoang,0,0.93000925
17,hkd ho thi ngoc huyen,0,0.94327927
18,trung quoc trung y mon chan,1,0.4629556
19,db dang anh,0,0.056393206
20,trien duoc lieu kim ngoc,1,0.52747494
21,db pham the oai,0,0.47826487
22,hkd bang tam,0,0.8521466
23,diem ban my hien,0,0.56144595
24,db hoang thi vui,0,0.02456528
25,tap hoa thien phuc,0,0.8885647
26,tap hoa pham,0,0.593571
27,diem ban thi dien,0,0.14688927
28,diem ban thanh bui,0,0.4456429
29,diem ban quang khai,0,0.059939623
30,db nguyen thi kim tuyen,0,0.056271315
31,tap hoa nguyen thi nga,0,0.9016717
32,xuan trung mobile,0,0.3326748
33,db nha huong,0,0.35437793
34,db quyen tuong phan thi quyen,0,0.0011721253
35,db  ngoc huu,0,0.07728791
36,kim thi co sonl,0,0.93524325
37,db hoang linh,0,0.054923892
38,co so quy nguyen,0,0.7181908
39,db binh quan,0,0.0015918612
40,db hoang phat,0,0.012869179
41,db trong tin,0,0.050908685
42,db nam tiem giang binh long,0,0.4602977
43,chth doan nga nguyen trong doan,0,0.77988994
44,db thanh duoc,0,0.103855014
45,diem ban van ut,0,0.1771428
46,db gi due,0,0.44111115
47,dinh van thanh,1,0.005682647
48,ho thi minh,1,0.0018020272
49,tap hoa nguyen thi ngoc,0,0.9016717
50,db tuan yen vo quoc tuan,0,0.12043071
51,dbtc  tiem dien phuoc thanh,0,0.89304805
52,db co hong,0,0.90798765
53,db hung thien nguyen thanh nghia,0,0.18594748
54,ht mobile nguyen thanh tri,0,0.73561954
55,tap hoa nguyen thi hoa,0,0.6648893
56,diem ban hoang duc thang,0,0.879038
